"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 6432 12201 5085 7854 2100 4118 5129 3003 5414 2514
"2" 4817 15753 17671 6825 14301 19613 4922 5466 1837 3755
"3" 21798 17152 21366 21892 7585 728 1923 10639 1974 3613
"4" 3435 1669 2628 4541 2834 4562 16875 5107 19426 5381
"5" 7647 2382 4808 13994 13436 8442 13401 12433 11159 11246
"6" 7512 1645 2037 20413 15558 17652 18322 15508 21965 15749
"7" 4652 15256 15503 17255 20907 19760 18930 21648 21556 21311
"8" 1815 1525 1549 3118 3640 9305 1337 1326 18275 19919
"9" 9960 8702 11778 12701 8814 9879 10113 8004 10745 8374
"10" 13283 7567 11566 13814 18281 19750 18774 18132 9596 13940
"11" 18998 18882 7489 19211 18672 2136 2674 4152 21427 21568
"12" 6758 13775 3275 2667 1426 2578 3215 2311 3845 16008
"13" 5924 3018 6453 9346 18262 19216 20143 19928 17278 3095
"14" 7916 12382 3394 7030 19309 17175 16043 3688 16618 18045
"15" 18155 19650 18050 19426 2301 3266 18198 20631 19109 15565
"16" 3028 3101 5746 9457 16125 3168 3676 5383 20861 16124
"17" 1375 15349 1142 1313 2016 3159 20568 20409 2818 9322
"18" 4625 1474 11892 4699 14651 20367 20954 20904 7912 1300
"19" 3038 1345 8176 2771 15725 4788 3922 4260 16192 17202
"20" 15576 19438 17023 19672 795 3592 2157 2426 5762 5123
"21" 4841 4011 7452 6120 4221 6732 6493 5027 15316 17320
"22" 7876 18036 3540 4814 1787 5196 4521 14549 15699 18579
"23" 17933 5082 6175 4170 4968 6769 19311 15284 4586 14694
"24" 16505 14541 16072 6357 16641 6431 3481 5711 3150 2503
"25" 15772 18966 17000 9482 4412 3400 6830 5457 17028 20214
"26" 4702 20064 6805 16634 14315 5925 16999 6108 3850 4230
"27" 8195 16743 18513 17374 14801 7032 3928 4526 17643 19493
"28" 17771 18758 18698 17929 15549 8139 4083 14789 18088 5320
"29" 6421 12178 5449 9300 3206 4818 3976 5960 5285 15729
"30" 7587 17642 17892 6444 6175 18220 7982 18414 15261 16787
"31" 19813 13159 19478 19644 19678 20140 16097 5474 19610 22059
"32" 5508 19032 15405 6668 14058 6055 2017 3960 19847 17603
"33" 18125 3625 16786 6129 4312 19614 19617 15437 17250 15651
"34" 4295 15652 17714 7405 14338 16393 5648 3646 16620 5276
"35" 16577 19132 15868 6266 17476 17604 17232 19241 17851 19716
"36" 16989 16532 16179 6723 14619 4340 5844 14723 16467 17799
"37" 17845 19277 21009 17781 18142 16794 7893 15190 4537 19774
"38" 17023 14232 20225 18676 15288 4410 2469 1626 17722 18137
"39" 7333 4034 7137 8368 3650 5017 7833 4784 4368 2135
"40" 8551 12388 8171 5057 14387 16382 7589 17239 16821 17095
"41" 4747 17676 7121 7674 15519 3918 6061 14060 5516 15947
"42" 8121 1197 3921 8496 5281 16987 6121 14841 18327 4108
"43" 17323 14562 16751 8872 5538 7317 6788 15341 5347 17637
"44" 8349 15353 15838 6290 3862 3336 6152 14339 6077 16357
"45" 4266 3188 6053 2565 3046 2205 3946 1730 15297 2524
"46" 17951 3672 19326 9002 18027 17163 7667 4202 16869 16266
"47" 19282 16981 5494 18255 3076 7247 15750 3782 19016 3563
"48" 17334 16445 15243 8391 4674 6420 6725 17273 16210 15185
"49" 16534 12240 17380 8074 6196 2728 4154 4568 1609 20162
"50" 6546 3338 4695 5048 15520 4386 4408 2942 3437 14937
"51" 8494 13510 16752 8731 3366 7478 7095 13966 5731 17135
"52" 8060 1968 17036 18956 6110 18112 7913 3295 4306 4801
"53" 6328 15851 16879 17646 14126 18436 5718 4312 17656 19694
"54" 8032 20324 18817 8314 16619 6765 4705 5350 18288 15403
"55" 6843 15784 17781 17820 5033 17564 5678 4448 15776 17056
"56" 15702 18393 20726 17095 3986 18270 4494 2670 20084 19788
"57" 15608 16083 6792 8180 4596 6945 6961 17262 2188 2147
"58" 8055 21215 18397 18104 20916 19113 16598 19890 18772 16320
"59" 16529 16156 8138 17719 15331 8519 8058 15507 15588 17414
"60" 3558 14003 5443 7253 15129 6134 5622 6353 5852 4683
"61" 7543 21589 6782 4125 1946 4113 3698 5835 4114 18745
"62" 16637 16294 19670 9458 3440 4145 17207 15586 19527 20167
"63" 7639 3159 2329 3943 1732 16818 18179 17439 4223 17775
"64" 17485 13709 16147 8438 2963 2129 2116 3516 19245 17585
"65" 6697 17252 4385 7168 17105 16172 15764 18800 4493 15292
"66" 15510 13412 6578 17543 17332 3310 19953 18058 1688 4311
"67" 17202 15778 17929 6433 15176 2193 2603 4254 15850 15303
"68" 17445 21662 19306 2913 19467 20005 20732 19465 17391 3393
"69" 7574 13029 17533 5383 15213 6285 7020 15440 3680 4624
"70" 8622 4270 2900 6173 18331 18671 21926 18980 5061 14909
"71" 20314 21832 20769 17838 19110 19214 19396 17741 18437 17203
"72" 20001 4625 18389 18697 2007 5013 2865 5534 2727 1604
"73" 15845 16380 8584 9309 16124 17364 15646 17325 4136 15165
"74" 16413 4674 18895 20181 19808 18813 20011 6351 5597 4215
"75" 19425 13032 6449 5538 19345 3768 15783 18053 17047 17697
"76" 18617 12196 5733 7043 4008 2769 5992 14988 16080 4408
"77" 641 17143 2373 1009 19919 7628 4544 5317 2994 3951
"78" 7406 14769 15956 9686 16931 18072 8101 6160 5252 16788
"79" 17796 20449 17224 16416 4207 6647 7027 18115 3240 18437
"80" 19123 19508 20928 17069 18416 7445 6384 5253 16607 16282
"81" 21250 19824 7080 17665 18823 7293 19821 17902 15278 18362
"82" 7429 16189 17932 9504 18332 17429 7105 14585 17470 4794
"83" 5966 4330 15509 17298 15405 18482 8071 4597 15927 5334
"84" 19956 16856 18713 19419 18431 17131 17894 16515 16003 18777
"85" 16974 16451 16691 8373 6004 8078 5683 15510 5158 17511
"86" 6893 18504 4179 8114 2875 1632 713 1955 2688 16086
"87" 20206 18973 5953 16463 3475 4868 820 14730 16599 15319
"88" 16277 13527 16090 7240 6366 3531 2026 2268 3398 4570
"89" 19445 11936 16183 16945 4649 6524 15938 15706 6189 20360
"90" 20431 21918 16083 8583 19828 17269 21200 22071 4858 21664
"91" 17382 19283 18092 9417 21750 20331 6604 5165 2341 18925
"92" 8136 21569 17033 3176 18169 8378 4541 19045 17061 18835
"93" 17839 16912 19645 5877 16455 19098 17826 19587 16793 18489
"94" 17040 22181 19362 17569 16534 7743 4008 15669 18321 21230
"95" 8291 16329 19110 17889 15312 6682 5847 4397 16463 5128
"96" 18823 20558 16355 7134 14090 6188 1812 18827 5539 14610
"97" 18719 3694 5724 8503 3190 6510 16848 17892 2063 4864
"98" 16092 14345 17283 7673 6276 8383 7101 6116 5871 18844
"99" 16011 13235 6541 6565 4287 7291 2501 14503 4966 3691
"100" 8474 16838 15052 9291 4574 6597 5981 14794 5620 15680
"101" 16252 21378 19947 7751 4299 4246 7869 17499 20355 18202
"102" 15611 15345 7410 8975 14872 6915 4829 3602 5432 14646
"103" 6857 15606 16976 17631 16117 8580 6157 4739 15383 14988
"104" 16484 4045 19756 17906 5371 8521 21414 4769 16598 5421
"105" 19354 20148 8498 4829 15467 4641 3845 6321 1310 14794
"106" 18678 16866 19036 7089 4705 4746 4278 16740 4415 2214
"107" 7486 12114 15284 8242 5717 6538 5691 14141 17167 16719
"108" 15503 19846 5558 4537 15734 7134 5264 18243 5640 17423
"109" 8166 15045 16314 9596 5434 6932 6661 14958 5773 4937
"110" 17020 18737 16579 16450 18492 17600 6502 16016 15303 4681
"111" 17279 16992 19351 17348 18523 17144 16103 14574 3145 15299
"112" 8069 15316 17747 6607 19447 7413 4821 4591 5035 16773
"113" 16353 16203 18730 9183 16831 18029 16863 14635 16041 4682
"114" 16516 16760 19053 9648 18462 8633 15444 14814 17083 15068
"115" 16949 17335 8361 16609 1173 3253 2232 4085 16764 17949
"116" 15348 4557 6499 4238 5564 6478 8108 14511 4809 3779
"117" 7438 19738 16445 4891 16868 6486 4744 15851 15596 18608
"118" 7694 21081 18241 8935 19315 8059 18880 17613 17221 19215
"119" 18014 13807 6909 16540 18681 16373 17372 18733 4389 19284
"120" 8482 17551 16972 18009 15814 18974 6365 13815 16259 16413
"121" 17806 14964 15441 19235 4708 17465 17477 19180 4823 16994
"122" 6434 16079 8245 6644 6142 5756 16371 16732 4098 17863
"123" 19185 22060 19216 19056 17645 16852 17501 16679 18603 20210
"124" 17873 20601 19830 5397 4519 1093 6051 1769 4308 21629
"125" 19017 16720 18379 6913 20319 8406 20256 19569 21997 2522
"126" 2827 19578 3794 17905 14909 17706 18616 16801 16206 16244
"127" 6882 21852 20388 5075 18871 16763 2722 17248 5399 19821
"128" 8924 5635 12100 15021 8164 10483 12727 6750 14124 13424
"129" 8369 15467 4841 7010 1628 16395 17673 19181 21078 21307
"130" 2930 12466 2043 3425 17477 17436 5259 14520 1498 504
"131" 16970 21609 19290 6987 18048 4690 5762 16308 20113 20956
"132" 19383 14305 6197 16726 3652 4953 15438 15138 19064 18869
"133" 19020 19921 19309 7968 14369 4931 6473 14223 18333 21144
"134" 15644 18838 15727 4821 15579 6479 16522 16830 17511 19846
"135" 8448 14479 15443 21196 14032 19087 19983 15564 2586 17806
"136" 18699 21063 21324 17612 15880 16305 5650 5300 4774 21833
"137" 16401 18562 19104 8542 2166 3645 3030 6023 1595 1545
"138" 16423 17685 18624 5318 17869 8324 19481 14700 19431 20292
"139" 8124 15343 6362 7863 5165 8472 15667 18175 16096 16539
"140" 6630 2914 16040 4296 15133 6587 7731 14160 21425 20491
"141" 16282 14589 6868 18481 18250 7964 4301 14501 15672 17460
"142" 16210 12440 8471 9694 14227 17091 7988 17559 4648 15499
"143" 2402 635 663 673 3335 6537 7230 16439 19611 17674
"144" 4595 16639 19517 21171 16339 19494 4344 13894 1490 20050
"145" 15592 4829 6503 6820 6404 6487 4382 15659 3711 3729
"146" 7774 17121 15680 7178 3231 2813 784 5811 4887 16228
"147" 5488 13532 17427 9226 5665 3773 3514 15959 15337 4448
"148" 8096 12855 4915 17301 5216 5120 2086 6215 5672 2928
"149" 5198 4469 16235 5546 3253 4265 621 4079 19359 14359
"150" 5283 4049 4859 16940 6205 17419 8030 4610 19354 16073
"151" 17513 14512 15223 19747 1988 3122 2335 13899 17956 19283
"152" 17456 12772 18349 7825 13936 3779 16301 15539 3175 16259
"153" 6043 15318 7561 4286 3100 3611 1254 4419 18722 14768
"154" 19907 16454 17520 7872 5484 2715 4858 16519 15903 14686
"155" 6488 14804 15796 7682 13968 5821 5814 14566 4715 16627
"156" 5842 12074 6157 17623 4822 5760 2520 14577 18379 3745
"157" 16329 13224 7521 7619 14771 4729 7499 18076 1295 1315
"158" 6404 2454 5156 17242 4593 7325 15451 588 18453 20649
"159" 17326 14568 17752 8161 16413 17527 20279 6077 4147 16602
"160" 7579 12339 7911 18544 3550 8284 6222 16525 901 2613
"161" 17537 15085 6375 7996 3343 4748 4503 3877 6066 4289
"162" 6212 2248 4468 5735 16736 17653 18795 16627 1234 2067
"163" 8496 14572 7966 17586 910 6025 2919 4534 4063 20045
"164" 21358 14058 21187 17572 5922 6836 3621 15615 20118 18345
"165" 2273 3391 3559 6874 1911 6664 5523 6345 3638 20681
"166" 8477 18125 17135 7542 3173 2954 6371 5506 17200 19928
"167" 21289 18546 18095 20464 2763 4683 1247 948 19896 17044
"168" 17026 14496 20558 17027 17189 18961 16355 14433 3973 2949
